repetition,question_id,question,correct_answer,has_image,claude_answer_real,claude_response_real,is_correct_real,error_type_real,error_details_real,claude_answer_fake,claude_response_fake,is_correct_fake,error_type_fake,error_details_fake
1,IT0111,"[Un uomo di 37 anni si presenta al Pronto Soccorso per intensa sintomatologia algica al livello della spalla destra. Il paziente riferisce caduta accidentale sul palmo della mano con la spalla atteggiata in modica abduzione ed estensione.] Dopo la valutazione dell'esame radiografico, quale diagnosi si sospetta?",B,True,B,"IT0111, B
Reasoning: L'Rx mostra la testa omerale spostata anteriormente/inferiormente rispetto alla cavità glenoidea (sotto il processo coracoideo) con perdita del normale allineamento articolare: quadro tipico di lussazione anteriore gleno-omerale (sottocoracoidea). Il meccanismo (caduta sul palmo con abduzione/estensione) è compatibile. Le altre opzioni non corrispondono: la lussazione posteriore presenterebbe segni radiografici diversi (es. ""light‑bulb sign""), una lesione acromion-claveare mostrerebbe separazione della articolazione AC, e non si evidenziano frammenti compatibili con frattura del trochite o della cavità glenoide.",True,,,B,"IT0111, B
Reasoning: Meccanismo tipico (caduta sul palmo con spalla in modica abduzione/estensione) e quadro clinico sono caratteristici della lussazione anteriore della gleno‑omerale, la forma più frequente. Nella lussazione anteriore l'omero si sposta antero‑inferiormente rispetto alla cavità glenoidea (e il paziente tiene il braccio in lieve abduzione/esterna). Le altre opzioni sono meno probabili: la lussazione posteriore è rara e tipica di crisi epilettiche/colpi diretti con intrarotazione; la lesione acromion‑claveare deriva da trauma diretto sulla spalla; fratture della cavità glenoidea o del trochite possono accompagnare ma non sono la diagnosi primaria più probabile.",True,,
1,IT0130,[Paziente di 45 anni esegue indagine Risonanza Magnetica della colonna lombare per lombalgia da 2 mesi non responsiva ai farmaci antifiammatori.] L'immagine mostra una RM del rachide lombare su quale dei tre piani anatomici?,A,True,A,"IT0130, A
Reasoning: L'immagine mostra una sezione sagittale longitudinale del rachide lombare (si vedono i corpi vertebrali impilati, i dischi intervertebrali, il canale vertebrale con il segnale del liquor e il cono/cauda equina). È una proiezione sagittale diretta (midsagittale/paramidsagittale) e non un piano coronale o assiale. Non è uno sagittale obliquo mirato ai peduncoli o ai forami di coniugazione, dove si apprezzerebbe un orientamento inclinato e la visualizzazione dei forami/ peduncoli in profilo; qui la disposizione è quella di un piano sagittale puro.",True,,,A,"IT0130, A
Reasoning: L'immagine mostra la colonna in profilo con i corpi vertebrali impilati antero‑posteriormente, gli spazi intersomatici/dischi visibili in successione e il canale vertebrale lungo in direzione cranio‑caudale: caratteristiche tipiche di una scansione sagittale pura. Un piano coronale presenterebbe i corpi vertebrali affiancati e i peduncoli simmetrici, mentre l'assiale mostrerebbe sezioni trasversali circolari; gli sagittali obliqui verrebbero inclinati per visualizzare specificamente peduncoli o forami, con diversa angolazione rispetto al profilo mid‑sagittale mostrato.",True,,
1,IT0131,[Paziente di 45 anni esegue indagine Risonanza Magnetica della colonna lombare per lombalgia da 2 mesi non responsiva ai farmaci antifiammatori.] Nella RM si rileva una probabile metastasi ossea. Quale indagine è la più appropriata per identificare la presenza di metastasi ossee?,A,True,A,"IT0131, A
Reasoning: Per la ricerca estesa di metastasi ossee la indagine di prima linea tipica è la scintigrafia ossea (Tc‑99m MDP): è un esame whole‑body sensibile per lesioni ossee multiple e permette di valutare l’estensione scheletrica. La TC del solo rachide o esami selettivi non studiano tutto lo scheletro; la TC completa con mezzo di contrasto comporta più dose e non è la metodica di screening più sensibile per metastasi ossee (soprattutto per lesioni osteolitiche); l’ecografia non è adatta per identificare metastasi ossee. (In casi selezionati o per lesioni litoriche/PET‑CT o TC mirata possono essere aggiunti per caratterizzazione.)",True,,,A,"IT0131, A
Reasoning: Per la valutazione estesa della presenza di metastasi ossee la scintigrafia ossea (Tc‑99m MDP) è l’esame di scelta come test di screening: è sensibile per lesioni metastatiche multifocali e permette l’esame dell’intero scheletro in un’unica indagine, è diffusamente disponibile e costo‑efficace. La TC (totale o a bassa dose) è meno sensibile per lesioni iniziali midollari e serve meglio per caratterizzare lesioni già sospette; la TC con mdc dello scheletro non è indicata come indagine di screening. L’ecografia non è utile per rilevare metastasi ossee. (Va comunque considerata la specificità del tipo di neoplasia: in alcuni casi PET o whole‑body MRI possono avere maggiore sensibilità, ma tra le opzioni date la scintigrafia è la più appropriata.)",True,,
1,IT0136,[Una donna di 19 anni presenta addominalgia e diarrea postprandiali ed esegue una esofagogastroduodenoscopia nel sospetto di un malassorbimento.] Che cosa si può dedurre dall'immagine?,B,True,B,"IT0136, B
Reasoning: L'immagine endoscopica mostra un aspetto con riduzione/appiattimento delle pliche e una mucosa dal pattern ""mosaico""/scalloping tipico di atrofia villare (es. morbo celiaco). Non si osservano necrosi/ulcere né sanguinamento attivo, né masse focali né segni di fistole/ascessi; il quadro è quindi compatibile con atrofia della mucosa.",True,,,B,"IT0136, B
Reasoning: In una giovane con sospetto malassorbimento l’endoscopia duodenale tipicamente mostra atrofia della mucosa (appiattimento/scalloping delle pieghe, perdita dei villi) associata a celiachia. Le altre opzioni (fistole/ ascessi, neoformazione, sanguinamento attivo, ulcera) non corrispondono al quadro clinico e all’aspetto endoscopico descritto.",True,,
1,IT0169,"[Una donna di 45 anni presenta lesioni eritemato-ipercheratosiche non dolenti, di forma nummulare, a livello della regione scapolare. Si associano lesioni ipercheratosiche [01] con chiazza di alopecia cicatriziale [02] a livello del vertice del cuoio capelluto. Le lesioni del tronco, di vecchia data, tendono anch'esse all'atrofia cicatriziale e a lasciare esiti iperpigmentari soprattutto periferici. Tutte le lesioni tendono al peggioramento dopo l'esposizione solare.] Qual è la terapia più indicata per questa paziente?",B,True,B,"IT0169, B
Reasoning: Quadro clinico tipico di lupus cutaneo cronico (lesioni nummulari eritemato-ipercheratosiche che peggiorano con il sole, tendenza ad atrofia e iperpigmentazione periferica e soprattutto area di alopecia cicatriziale sul vertice). Terapia sistemica di prima scelta per il lupus cutaneo cronico è l'idrossiclorochina. Fototerapia nbUVB è controindicata per patologia fotosensibile; le altre opzioni (calcipotriolo, penicillina, antimicotici) non sono appropriate.",True,,,B,"IT0169, B
Reasoning: Il quadro è tipico di lupus cutaneo cronico (lesioni discoidi eritemato-ipercheratosiche nummulari, esiti di atrofia/cicatrice e iperpigmentazione periferica, alopecia cicatriziale del vertice, fotosensibilità). La terapia sistemica di prima scelta per malattia cutanea estesa o scalp coinvolto è l'idrossiclorochina. La fototerapia nbUVB è controindicata per fotosensibilità; calcipotriolo è per psoriasi; penicillina e antimicotici orali non sono indicati.",True,,
1,IT0198,"[Una donna di 22 anni si sottopone a biopsia intestinale dopo un'iniziale valutazione clinica e laboratoristica. L'esame istologico dimostra appiattimento dei villi, iperplasia delle cripte, incremento dei linfociti intraepiteliali, come illustrato nella figura.] Con quale delle seguenti malattie può essere compatibile il reperto istologico?",C,True,C,"IT0198, C
Reasoning: L'immagine e la descrizione mostrano atrofia villare (appiattimento dei villi), iperplasia delle cripte e aumento dei linfociti intraepiteliali: il quadro classico della malattia celiaca (lesione tipo Marsh). Le altre opzioni non corrispondono: la malattia di Whipple presenta macrofagi PAS-positivi nella lamina propria; il Morbo di Crohn dà infiammazione transmurale, granulomi e lesioni focali; la sensibilità al glutine non-celiaca di solito non mostra atrofia villare e aumento marcato dei linfociti intraepiteliali; un tumore neuroendocrino sarebbe una lesione neoplastica focalizzata con cellule neuroendocrine, non il quadro di atrofia/iperplasia criptica.",True,,,C,"IT0198, C
Reasoning: L'insieme istologico descritto — atrofia villare (appiattimento dei villi), iperplasia delle cripte e aumento dei linfociti intraepiteliali — è caratteristico della malattia celiaca. Le altre entità non mostrano questo quadro tipico (Whipple: macrofagi PAS-positivi nella lamina propria; Crohn: infiammazione transmurale e granulomi; sensibilità al glutine non-celiaca: cambiamenti istologici generalmente assenti o non specifici; tumore neuroendocrino: proliferazione neoplastica di cellule neuroendocrine).",True,,
1,IT0200,[Un paziente di 65 anni deve essere sottoposto a colecistectomia. In regime di prericovero ha eseguito un controllo radiologico del torace.] L'immagine radiologica mostrata in figura è in prima istanza compatibile con:,B,True,E,"IT0200, E
Reasoning: I reperti sono multiple opacità rotonde, di dimensione e densità molto simile, ben delimitate e sovrapposte ai campi polmonari in sede periferica (alcune addirittura fuori proiezione polmonare sui tessuti molli). Hanno l'aspetto tipico dei dischetti radiopachi degli elettrodi ECG applicati al torace. Le alternative sono meno compatibili: la tubercolosi miliare dà piccole micronodularità diffuse; metastasi hanno variabilità di forma e dimensione e non appaiono come dischi superficiali omogenei; polmonite multifocale mostra consolidazioni non dischi netti; atelattasie danno aree lineari/segmentarie di rilasciamento polmonare, non rotonde uniformi.",False,,,E,"IT0200, E
Reasoning: Le opacità sono rotonde, ben delimitate e sovrapposte in sede cutanea/più superficiale (disposte in modo regolare) e non mostrano carattere parenchimale (non seguono i reperti tipici di noduli polmonari diffusi, addensamenti o segmentarie perdita di volume). Questo quadro è tipico delle cuffie/elettrodi per ECG applicati sul torace che proiettano ombre circolari radiopache sulla radiografia. Tubercolosi miliare e metastasi avrebbero noduli intraparenchimali di dimensioni multiple e distribuzione diversa; polmonite multifocale mostrerebbe addensamenti; atelettasie opacità lineari/triangolari con riduzione di volume.",False,,
1,IT0213,[Un medico di Pronto Soccorso sta valutando un uomo di 54 anni che lamenta dolore retrosternale.] Il dolore non migliora e improvvisamente il paziente perde coscienza. Nella figura il ritmo presente a monitor è:,B,True,B,"IT0213, B
Reasoning: Si vede una tachicardia a QRS larghi, senza onde P visibili, con complessi ventricolari che cambiano morfologia e ampiezza nel tempo (aspetto ""twisting"" dei complessi). Quindi non è una SVT (QRS tipicamente stretti), non è fibrillazione atriale (mancano i complessi ventricolari ordinati) né fibrillazione ventricolare (che sarebbe caotica senza complessi riconoscibili) e non è monomorfa (i complessi non sono tutti uguali). Caratteristica di tachicardia ventricolare polimorfa.",True,,,E,"IT0213, E
Reasoning: In un paziente con dolore toracico acuto che improvvisamente perde coscienza l’arresto cardiaco è più spesso causato da fibrillazione ventricolare. Il ritmo di FV si presenta al monitor con onde rapide, caotiche e irregolari senza complessi QRS organizzati (a differenza della tachicardia ventricolare monomorfa, che è regolare con complessi larghi, o della tachicardia ventricolare polimorfa/torsades che mostra variazione dell’asse). Pertanto la risposta più probabile è fibrillazione ventricolare.",False,,
1,IT0214,[Un medico di Pronto Soccorso sta valutando un uomo di 54 anni che lamenta dolore retrosternale.] Il dolore non migliora e improvvisamente il paziente perde coscienza. Il trattamento di prima scelta è:,A,True,A,"IT0214, A
Reasoning: L'ECG mostra un ritmo ventricolare caotico e disorganizzato compatibile con fibrillazione ventricolare/pulseless ventricular tachycardia (ritmo defibrillabile). In caso di perdita di coscienza per arresto cardiaco con ritmo defibrillabile la prima terapia è la defibrillazione immediata (shock non sincronizzato). Farmaci come adrenalina o lidocaina e altre manovre vengono considerati successivamente secondo l'algoritmo ACLS se lo shock non è risolutivo; manovre vagali o espansione volemica non sono appropriate come primo intervento.",True,,,A,"IT0214, A
Reasoning: Uomo con dolore retrosternale che improvvisamente perde conoscenza suggerisce arresto cardiaco primario verosimilmente da fibrillazione ventricolare/taquicardia ventricolare indotta da infarto miocardico. Il trattamento di prima scelta in VF/pulseless VT è la defibrillazione immediata (shock elettrico). Adrenalina e farmaci antiaritmici (es. lidocaina) sono indicati in step successivi se necessario; espansione volemica e manovre vagali non sono appropriate come primo intervento in questo scenario.",True,,
1,IT0229,"[Il 13 agosto del 2011, alle ore 20, in Sicilia, un medico legale viene contattato dal Pubblico Ministero in quanto avvisato dalle forze dell'ordine del ritrovamento di un cadavere presso il domicilio dello stesso. Giunto sul luogo, il medico legale viene informato dalla polizia che, a causa dell'odore acre presente nell'appartamento, si era proceduto ad apertura delle finestre di tutte le stanze della casa. Si iniziano le operazioni di sopralluogo, il cadavere si presenta come in figura.] Alla luce dell'immagine allegata e dei dati riportati, considerando una completa risoluzione della rigidità, si può stimare in via preliminare che siano trascorsi:",A,True,A,"IT0229, A
Reasoning: L’immagine mostra segni avanzati di putrefazione (colorazione verde/ violacea a “marbling”, distensione addominale per gas, distacco/lesioni della cute) tipici della fase di putrefazione precoce-avanzata. In condizioni estive (Sicilia, agosto) la decomposizione è accelerata: la rigidità cadaverica si risolve generalmente entro 36-72 ore e i segni di putrefazione visibili (gonfiore, colorazione verdastra, marbling della cute, distacco epidermico) compaiono e sono ben evidenti entro circa 3–5 giorni. Le altre ipotesi sono incompatibili: meno di 24 h non mostrerebbe tali segni; 1 mese/3 mesi/1 anno darebbero mummificazione o scheletrizzazione, non l’aspetto mostrato.",True,,,A,"IT0229, A
Reasoning: La rigidità di cadavere si instaura entro poche ore, è completa entro 12–24 h e tende a risolversi dopo circa 36–72 h (con variazioni legate alla temperatura). La completa risoluzione della rigidità indica quindi un intervallo post-mortem superiore alle 48–72 ore. In agosto in Sicilia (temperature elevate) la putrefazione e l'odore acre compaiono e progrediscono più rapidamente, compatibile con alcuni giorni dalla morte. Pertanto la stima preliminare più coerente è circa 3–5 giorni.",True,,
1,IT0235,"[Un uomo di 65 anni presenta insorgenza, in pieno benessere, di cefalea e vomito, seguiti dalla comparsa di afasia ed emiparesi destra. Viene quindi accompagnato in Pronto Soccorso; i familiari riferiscono in anamnesi ipertensione ed etilismo con associata cirrosi epatica. Alla visita il medico trova il paziente soporoso, risvegliabile alla chiamata, afasico globale ed emiplegico a destra. Si prende visione della TC encefalo senza mezzo di contrasto che nel frattempo è stata richiesta (si veda immagine).] Qual è la diagnosi più probabile?",C,True,B,"IT0235, B
Reasoning: La TC non contrasto mostra una raccolta iperdensa, a contorno falciforme/crescentico sulla convexità emisferica sinistra con marcato effetto massa e shift della linea mediana verso destra. Il pattern a falce che può attraversare le suture è tipico di ematoma sottodurale acuto. I segni clinici (afasia e emiparesi destra) corrispondono a lesione nell’emisfero dominante sinistro. Un ematoma epidurale sarebbe lentiforme/biconvesso e non attraverserebbe le suture; un’emorragia intraparenchimale sarebbe intra-assiale e più circoscritta; l’emorragia subaracnoidea dà sangue nei solchi e cisterne, non una grande raccolta convexitaria.",False,,,C,"IT0235, C
Reasoning: Quadro di insorgenza acuta con cefalea, vomito e rapido sviluppo di afasia globale e emiparesi destra indica una lesione emorragica del lato dominante (sinistro) con coinvolgimento cortico-sottocorticale fronto-parietale. I fattori di rischio (ipertensione, etilismo/cirrosi) favoriscono emorragia intraparenchimale spontanea. Le altre opzioni sono meno compatibili: un ematoma epidurale è tipicamente traumatico e sul lato opposto; un ematoma sottodurale acuto è di solito post-traumatico e localizzazioni parieto-occipitali non giustificherebbero una afasia globale; un ictus ischemico dà meno frequentemente cefalea/vomito acuti e la lateralità sarebbe opposta; una rottura aneurismatica con SAH dà tipicamente un ""colpo di frusta"" cefalea sentinella e segni meningei più che un deficit motorio focale così specifico.",True,,
